"数字","全期間の出現回数","直近30回の出現回数","直近50回の出現回数","直近100回の出現回数","直近300回の出現回数","最後に出た回号","前回からの間隔","平均出現間隔","最大未出現間隔"
"1","293","5","7","14","42","2111","3","7.22","47"
"2","314","6","8","19","44","2114","0","6.75","47"
"3","287","5","6","12","36","2112","2","7.35","45"
"4","287","3","4","8","36","2103","11","7.30","34"
"5","302","6","9","18","46","2113","1","7.01","30"
"6","326","6","11","16","45","2109","5","6.47","45"
"7","272","3","4","14","41","2112","2","7.77","42"
"8","295","9","13","18","42","2112","2","7.18","53"
"9","258","3","4","7","33","2110","4","8.20","51"
"10","306","3","8","16","42","2108","6","6.91","51"
"11","281","3","5","12","38","2109","5","7.50","35"
"12","289","1","4","13","35","2111","3","7.31","40"
"13","274","3","5","13","42","2095","19","7.67","39"
"14","284","0","5","12","35","2082","32","7.31","36"
"15","305","4","7","13","39","2108","6","6.92","44"
"16","297","4","6","14","38","2114","0","7.14","35"
"17","274","3","8","13","40","2106","8","7.67","45"
"18","301","8","12","18","52","2110","4","7.02","33"
"19","309","5","7","13","38","2109","5","6.82","37"
"20","294","3","5","11","39","2114","0","7.21","59"
"21","313","7","8","19","47","2114","0","6.77","41"
"22","297","1","2","12","38","2095","19","6.97","35"
"23","293","2","4","9","41","2114","0","7.22","64"
"24","307","4","10","16","49","2100","14","6.73","41"
"25","289","3","5","11","43","2104","10","7.28","37"
"26","308","4","8","15","47","2105","9","6.84","35"
"27","307","6","8","14","41","2112","2","6.90","36"
"28","298","7","9","18","49","2108","6","7.08","43"
"29","278","2","6","14","47","2101","13","7.54","42"
"30","295","4","9","15","43","2105","9","7.16","54"
"31","285","2","4","11","40","2112","2","7.43","45"
"32","297","4","8","12","30","2113","1","7.10","55"
"33","282","3","6","13","44","2114","0","7.50","45"
"34","278","4","5","10","43","2106","8","7.59","39"
"35","305","3","7","14","48","2110","4","6.92","41"
"36","304","7","11","13","53","2113","1","6.96","47"
"37","316","4","9","17","46","2111","3","6.67","41"
"38","311","4","6","14","44","2113","1","6.81","34"
"39","295","5","7","16","32","2107","7","7.14","65"
"40","283","5","8","14","44","2112","2","7.48","35"
"41","277","2","4","11","38","2109","5","7.59","40"
"42","315","5","8","21","48","2113","1","6.70","47"
"43","303","9","10","17","42","2111","3","6.98","33"
