"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"1","2013-04-05","","0","1","301716500"
"2","2013-04-12","","247506600","0","0"
"3","2013-04-19","","646583065","0","0"
"4","2013-04-26","","1055636845","0","0"
"5","2013-05-03","","1502479900","0","0"
"6","2013-05-10","","1975256125","0","0"
"7","2013-05-17","","41801960","3","800000000"
"8","2013-05-24","","390672500","0","0"
"9","2013-05-31","","0","2","380111200"
"10","2013-06-07","","321524240","0","0"
"11","2013-06-14","","0","1","707670400"
"12","2013-06-21","","0","1","296535200"
"13","2013-06-28","","297797015","0","0"
"14","2013-07-05","","0","2","316971200"
"15","2013-07-12","","0","2","139246400"
"16","2013-07-19","","0","1","259314500"
"17","2013-07-26","","257444175","0","0"
"18","2013-08-02","","0","4","138991400"
"19","2013-08-09","","234808895","0","0"
"20","2013-08-16","","536318350","0","0"
"21","2013-08-23","","95906390","1","800000000"
"22","2013-08-30","","392492300","0","0"
"23","2013-09-06","","0","1","746478700"
"24","2013-09-13","","257380635","0","0"
"25","2013-09-20","","0","2","288220500"
"26","2013-09-27","","242988750","0","0"
"27","2013-10-04","","534246145","0","0"
"28","2013-10-11","","62941930","1","800000000"
"29","2013-10-18","","369168905","0","0"
"30","2013-10-25","","719099050","0","0"
"31","2013-11-01","","330605330","1","800000000"
"32","2013-11-08","","0","3","225745200"
"33","2013-11-15","","266123875","0","0"
"34","2013-11-22","","588283060","0","0"
"35","2013-11-29","","921548030","0","0"
"36","2013-12-06","","494443545","1","800000000"
"37","2013-12-13","","33565555","1","800000000"
"38","2013-12-20","","0","1","323677300"
"39","2013-12-27","","0","1","279333700"
"40","2014-01-10","","0","1","281251400"
"41","2014-01-17","","242481625","0","0"
"42","2014-01-24","","0","1","564832800"
"43","2014-01-31","","253658750","0","0"
"44","2014-02-07","","569611595","0","0"
"45","2014-02-14","","899790300","0","0"
"46","2014-02-21","","491347345","1","800000000"
"47","2014-02-28","","0","2","411638000"
"48","2014-03-07","","0","1","240970300"
"49","2014-03-14","","0","1","237579900"
"50","2014-03-21","","0","2","112997700"
"51","2014-03-28","","228789300","0","0"
"52","2014-04-04","","517585780","0","0"
"53","2014-04-11","","0","2","424722700"
"54","2014-04-18","","239162760","0","0"
"55","2014-04-25","","0","1","536627600"
"56","2014-05-02","","239510660","0","0"
"57","2014-05-09","","535837750","0","0"
"58","2014-05-16","","69864060","1","800000000"
"59","2014-05-23","","333161630","0","0"
"60","2014-05-30","","0","1","636917600"
"61","2014-06-06","","0","1","231978000"
"62","2014-06-13","","234614670","0","0"
"63","2014-06-20","","0","1","524339700"
"64","2014-06-27","","235685240","0","0"
"65","2014-07-04","","510891905","0","0"
"66","2014-07-11","","829816620","0","0"
"67","2014-07-18","","1181533320","0","0"
"68","2014-07-25","","808528740","1","800000000"
"69","2014-08-01","","363873750","1","800000000"
"70","2014-08-08","","0","3","222116800"
"71","2014-08-15","","225783715","0","0"
"72","2014-08-22","","0","5","103896700"
"73","2014-08-29","","239746775","0","0"
"74","2014-09-05","","538287400","0","0"
"75","2014-09-12","","0","2","434459600"
"76","2014-09-19","","0","1","241111000"
"77","2014-09-26","","220682015","0","0"
"78","2014-10-03","","0","2","245019800"
"79","2014-10-10","","213723005","0","0"
"80","2014-10-17","","482184370","0","0"
"81","2014-10-24","","805203145","0","0"
"82","2014-10-31","","1195576075","0","0"
"83","2014-11-07","","1619633575","0","0"
"84","2014-11-14","","2095793915","0","0"
"85","2014-11-21","","1808128280","1","800000000"
"86","2014-11-28","","1416245085","1","800000000"
"87","2014-12-05","","1790275855","0","0"
"88","2014-12-12","","2182851930","0","0"
"89","2014-12-19","","2591414655","0","0"
"90","2014-12-26","","2234360775","1","800000000"
"91","2015-01-09","","2671288235","0","0"
"92","2015-01-16","","2276371255","1","800000000"
"93","2015-01-23","","1052449145","2","800000000"
"94","2015-01-30","","0","2","705794000"
"95","2015-02-06","","268239710","0","0"
"96","2015-02-13","","573705620","0","0"
"97","2015-02-20","","99001930","1","800000000"
"98","2015-02-27","","387567960","0","0"
"99","2015-03-06","","0","1","699064600"
"100","2015-03-13","","248837600","0","0"
"101","2015-03-20","","546062785","0","0"
"102","2015-03-27","","0","3","295337700"
"103","2015-04-03","","237715660","0","0"
"104","2015-04-10","","0","1","523951100"
"105","2015-04-17","","0","1","248384000"
"106","2015-04-24","","242369330","0","0"
"107","2015-05-01","","543591915","0","0"
"108","2015-05-08","","856434470","0","0"
"109","2015-05-15","","1194796700","0","0"
"110","2015-05-22","","1552785590","0","0"
"111","2015-05-29","","1156138945","1","800000000"
"112","2015-06-05","","1500897975","0","0"
"113","2015-06-12","","1865147520","0","0"
"114","2015-06-19","","1458876495","1","800000000"
"115","2015-06-26","","1019016770","1","800000000"
"116","2015-07-03","","585423220","1","800000000"
"117","2015-07-10","","913053470","0","0"
"118","2015-07-17","","1243142375","0","0"
"119","2015-07-24","","784900955","1","800000000"
"120","2015-07-31","","1103234440","0","0"
"121","2015-08-07","","628349190","1","800000000"
"122","2015-08-14","","926503785","0","0"
"123","2015-08-21","","472187410","1","800000000"
"124","2015-08-28","","0","1","785704400"
"125","2015-09-04","","248655270","0","0"
"126","2015-09-11","","0","2","265266200"
"127","2015-09-18","","0","2","125520200"
"128","2015-09-25","","0","1","233557500"
"129","2015-10-02","","0","1","229587800"
"130","2015-10-09","","226123355","0","0"
"131","2015-10-16","","497901650","0","0"
"132","2015-10-23","","799493370","0","0"
"133","2015-10-30","","1134284665","0","0"
"134","2015-11-06","","1481435860","0","0"
"135","2015-11-13","","1845014875","0","0"
"136","2015-11-20","","2222533760","0","0"
"137","2015-11-27","","1820523185","1","800000000"
"138","2015-12-04","","1370182325","1","800000000"
"139","2015-12-11","","1712940710","0","0"
"140","2015-12-18","","2074538935","0","0"
"141","2015-12-25","","1672001745","1","800000000"
"142","2016-01-08","","2060628715","0","0"
"143","2016-01-15","","2444749620","0","0"
"144","2016-01-22","","2050454225","1","800000000"
"145","2016-01-29","","2433616350","0","0"
"146","2016-02-05","","2034765345","1","800000000"
"147","2016-02-12","","826803760","2","800000000"
"148","2016-02-19","","1173362780","0","0"
"149","2016-02-26","","730966110","1","800000000"
"150","2016-03-04","","256955600","1","800000000"
"151","2016-03-11","","553668980","0","0"
"152","2016-03-18","","69792960","1","800000000"
"153","2016-03-25","","0","1","362456100"
"154","2016-04-01","","0","1","257297800"
"155","2016-04-08","","0","1","251995000"
"156","2016-04-15","","0","1","259663500"
"157","2016-04-22","","252322715","0","0"
"158","2016-04-29","","0","1","535280700"
"159","2016-05-06","","234794530","0","0"
"160","2016-05-13","","0","2","255795700"
"161","2016-05-20","","233401615","0","0"
"162","2016-05-27","","0","1","500555900"
"163","2016-06-03","","0","1","237793900"
"164","2016-06-10","","229558135","0","0"
"165","2016-06-17","","529403390","0","0"
"166","2016-06-24","","838919740","0","0"
"167","2016-07-01","","0","2","596966700"
"168","2016-07-08","","249683290","0","0"
"169","2016-07-15","","541842255","0","0"
"170","2016-07-22","","45774325","1","800000000"
"171","2016-07-29","","0","1","308533500"
"172","2016-08-05","","0","1","229139600"
"173","2016-08-12","","228099815","0","0"
"174","2016-08-19","","0","3","170269900"
"175","2016-08-26","","239677540","0","0"
"176","2016-09-02","","528455810","0","0"
"177","2016-09-09","","35718160","1","800000000"
"178","2016-09-16","","298979855","0","0"
"179","2016-09-23","","0","1","581403600"
"180","2016-09-30","","237187815","0","0"
"181","2016-10-07","","521445450","0","0"
"182","2016-10-14","","842496950","0","0"
"183","2016-10-21","","1181212000","0","0"
"184","2016-10-28","","751867760","1","800000000"
"185","2016-11-04","","1077699135","0","0"
"186","2016-11-11","","1411599250","0","0"
"187","2016-11-18","","198771140","2","800000000"
"188","2016-11-25","","0","1","478206800"
"189","2016-12-02","","0","2","123108600"
"190","2016-12-09","","0","1","240259100"
"191","2016-12-16","","243867070","0","0"
"192","2016-12-23","","522955095","0","0"
"193","2016-12-30","","844728055","0","0"
"194","2017-01-06","","1131549130","0","0"
"195","2017-01-13","","0","4","371873100"
"196","2017-01-20","","234599870","0","0"
"197","2017-01-27","","522001970","0","0"
"198","2017-02-03","","879541410","0","0"
"199","2017-02-10","","0","2","636223100"
"200","2017-02-17","","0","4","67987600"
"201","2017-02-24","","0","1","263734200"
"202","2017-03-03","","0","1","254364500"
"203","2017-03-10","","0","1","236902300"
"204","2017-03-17","","237457480","0","0"
"205","2017-03-24","","502863990","0","0"
"206","2017-03-31","","0","2","405262500"
"207","2017-04-07","","237151340","0","0"
"208","2017-04-14","","0","2","265859700"
"209","2017-04-21","","0","2","126470700"
"210","2017-04-28","","0","3","81938200"
"211","2017-05-05","","213835550","0","0"
"212","2017-05-12","","0","1","485279600"
"213","2017-05-19","","0","1","221975000"
"214","2017-05-26","","222151090","0","0"
"215","2017-06-02","","472406545","0","0"
"216","2017-06-09","","752459005","0","0"
"217","2017-06-16","","0","3","366089300"
"218","2017-06-23","","234051170","0","0"
"219","2017-06-30","","0","1","499890800"
"220","2017-07-07","","0","1","226348000"
"221","2017-07-14","","228713890","0","0"
"222","2017-07-21","","0","2","237488900"
"223","2017-07-28","","216537490","0","0"
"224","2017-08-04","","455617240","0","0"
"225","2017-08-11","","704586110","0","0"
"226","2017-08-18","","0","2","498775500"
"227","2017-08-25","","0","1","211728100"
"228","2017-09-01","","0","1","220207500"
"229","2017-09-08","","219972905","0","0"
"230","2017-09-15","","488540220","0","0"
"231","2017-09-22","","759728850","0","0"
"232","2017-09-29","","92542530","1","1000000000"
"233","2017-10-06","","352144450","0","0"
"234","2017-10-13","","627381835","0","0"
"235","2017-10-20","","0","2","465949400"
"236","2017-10-27","","219639955","0","0"
"237","2017-11-03","","0","1","495540900"
"238","2017-11-10","","0","1","221756400"
"239","2017-11-17","","0","2","108367000"
"240","2017-11-24","","211619725","0","0"
"241","2017-12-01","","455355365","0","0"
"242","2017-12-08","","721477315","0","0"
"243","2017-12-15","","0","2","517917800"
"244","2017-12-22","","0","1","228504900"
"245","2017-12-29","","0","2","117494400"
"246","2018-01-05","","0","1","190480600"
"247","2018-01-12","","215130950","0","0"
"248","2018-01-19","","0","1","486799200"
"249","2018-01-26","","213193135","0","0"
"250","2018-02-02","","0","1","474586400"
"251","2018-02-09","","0","1","312906800"
"252","2018-02-16","","0","1","316752000"
"253","2018-02-23","","0","1","309164300"
"254","2018-03-02","","301344395","0","0"
