"回号","抽せん日","等級","当せん口数","当せん金額"
"1","2013-04-05","1等","1","301716500"
"1","2013-04-05","2等","24","4144600"
"1","2013-04-05","3等","168","828900"
"1","2013-04-05","4等","8254","9800"
"1","2013-04-05","5等","115022","1700"
"1","2013-04-05","6等","189593","900"
"2","2013-04-12","1等","0","0"
"2","2013-04-12","2等","3","27968500"
"2","2013-04-12","3等","63","1864500"
"2","2013-04-12","4等","3631","18900"
"2","2013-04-12","5等","67155","2500"
"2","2013-04-12","6等","122990","1200"
"3","2013-04-19","1等","0","0"
"3","2013-04-19","2等","15","8717200"
"3","2013-04-19","3等","218","839700"
"3","2013-04-19","4等","9957","10700"
"3","2013-04-19","5等","147796","1700"
"3","2013-04-19","6等","252702","900"
"4","2013-04-26","1等","0","0"
"4","2013-04-26","2等","6","22730100"
"4","2013-04-26","3等","132","1446400"
"4","2013-04-26","4等","7217","15500"
"4","2013-04-26","5等","127060","2100"
"4","2013-04-26","6等","217162","1100"
"5","2013-05-03","1等","0","0"
"5","2013-05-03","2等","13","11525600"
"5","2013-05-03","3等","217","966600"
"5","2013-05-03","4等","10451","11700"
"5","2013-05-03","5等","163965","1800"
"5","2013-05-03","6等","239669","1100"
"6","2013-05-10","1等","0","0"
"6","2013-05-10","2等","13","12174300"
"6","2013-05-10","3等","166","1334700"
"6","2013-05-10","4等","9111","14200"
"6","2013-05-10","5等","158890","2000"
"6","2013-05-10","6等","271441","1000"
"7","2013-05-17","1等","3","800000000"
"7","2013-05-17","2等","18","8835900"
"7","2013-05-17","3等","209","1065300"
"7","2013-05-17","4等","10300","12600"
"7","2013-05-17","5等","164712","1900"
"7","2013-05-17","6等","287966","1000"
"8","2013-05-24","1等","0","0"
"8","2013-05-24","2等","4","28966000"
"8","2013-05-24","3等","98","1655100"
"8","2013-05-24","4等","5628","16900"
"8","2013-05-24","5等","98454","2300"
"8","2013-05-24","6等","201752","1000"
"9","2013-05-31","1等","2","380111200"
"9","2013-05-31","2等","4","30883600"
"9","2013-05-31","3等","201","860400"
"9","2013-05-31","4等","8281","12200"
"9","2013-05-31","5等","129548","1900"
"9","2013-05-31","6等","213199","1000"
"10","2013-06-07","1等","0","0"
"10","2013-06-07","2等","4","26389000"
"10","2013-06-07","3等","147","1005200"
"10","2013-06-07","4等","6861","12600"
"10","2013-06-07","5等","113261","1800"
"10","2013-06-07","6等","166137","1100"
"11","2013-06-14","1等","1","707670400"
"11","2013-06-14","2等","6","20977400"
"11","2013-06-14","3等","138","1276800"
"11","2013-06-14","4等","6700","15400"
"11","2013-06-14","5等","112138","2200"
"11","2013-06-14","6等","211430","1000"
"12","2013-06-21","1等","1","296535200"
"12","2013-06-21","2等","9","11274500"
"12","2013-06-21","3等","198","717400"
"12","2013-06-21","4等","7888","10500"
"12","2013-06-21","5等","111522","1800"
"12","2013-06-21","6等","167040","1100"
"13","2013-06-28","1等","0","0"
"13","2013-06-28","2等","8","12556800"
"13","2013-06-28","3等","116","1212300"
"13","2013-06-28","4等","6420","12800"
"13","2013-06-28","5等","102857","1900"
"13","2013-06-28","6等","180788","1000"
"14","2013-07-05","1等","2","316971200"
"14","2013-07-05","2等","16","7259000"
"14","2013-07-05","3等","206","789300"
"14","2013-07-05","4等","9151","10400"
"14","2013-07-05","5等","138034","1700"
"14","2013-07-05","6等","208315","1000"
"15","2013-07-12","1等","2","139246400"
"15","2013-07-12","2等","10","9268900"
"15","2013-07-12","3等","112","1158600"
"15","2013-07-12","4等","5732","13200"
"15","2013-07-12","5等","92282","2000"
"15","2013-07-12","6等","176674","900"
"16","2013-07-19","1等","1","259314500"
