"数字","直近100回の出現回数","前回からの間隔","過去出現回数"
"1","23","2","127"
"2","18","5","114"
"3","14","13","118"
"4","20","13","136"
"5","14","6","115"
"6","21","4","129"
"7","23","6","132"
"8","21","4","133"
"9","27","3","150"
"10","21","2","130"
"11","18","0","131"
"12","30","2","120"
"13","15","2","145"
"14","20","1","130"
"15","21","5","151"
"16","17","8","114"
"17","16","1","135"
"18","20","4","130"
"19","15","2","121"
"20","17","7","118"
"21","16","0","130"
"22","24","0","135"
"23","20","1","126"
"24","17","4","122"
"25","12","0","109"
"26","18","3","137"
"27","17","3","130"
"28","17","0","128"
"29","23","0","136"
"30","15","1","141"
"31","18","3","133"
"32","16","10","133"
"33","19","2","115"
"34","24","5","141"
"35","20","2","137"
"36","19","0","136"
"37","14","13","113"
