game,strategy,trainThroughDraw,targetDraw,ticket,actual,bonus,mainMatches,bonusMatches,prizeTier,payoutYen
loto6,balance,300,301,11 17 18 30 36 39,4 5 6 9 10 11,33,1,0,,0
loto6,frequent,300,301,17 18 30 31 36 39,4 5 6 9 10 11,33,0,0,,0
loto6,overdue,300,301,11 16 21 24 32 42,4 5 6 9 10 11,33,1,0,,0
loto6,high_payout,300,301,16 21 32 36 39 41,4 5 6 9 10 11,33,0,0,,0
loto6,random,300,301,8 10 22 33 36 38,4 5 6 9 10 11,33,1,1,,0
loto6,sougaku_delete,300,301,9 17 18 35 36 39,4 5 6 9 10 11,33,1,0,,0
loto6,mixed,300,301,3 21 23 24 32 42,4 5 6 9 10 11,33,0,0,,0
loto6,balance,301,302,11 17 18 22 36 39,2 4 13 23 38 40,24,0,0,,0
loto6,frequent,301,302,11 17 18 30 36 39,2 4 13 23 38 40,24,0,0,,0
loto6,overdue,301,302,1 21 23 24 32 42,2 4 13 23 38 40,24,1,1,,0
loto6,high_payout,301,302,17 21 32 36 39 42,2 4 13 23 38 40,24,0,0,,0
loto6,random,301,302,9 12 21 27 32 37,2 4 13 23 38 40,24,0,0,,0
loto6,sougaku_delete,301,302,9 17 18 30 36 39,2 4 13 23 38 40,24,0,0,,0
loto6,mixed,301,302,18 21 23 24 32 42,2 4 13 23 38 40,24,1,1,,0
loto6,balance,302,303,9 11 18 30 36 39,4 24 31 35 37 39,13,1,0,,0
loto6,frequent,302,303,9 11 17 18 30 39,4 24 31 35 37 39,13,1,0,,0
loto6,overdue,302,303,1 3 21 24 32 42,4 24 31 35 37 39,13,1,0,,0
loto6,high_payout,302,303,17 21 32 36 39 42,4 24 31 35 37 39,13,1,0,,0
loto6,random,302,303,19 30 33 35 36 41,4 24 31 35 37 39,13,1,0,,0
loto6,sougaku_delete,302,303,9 11 18 22 30 39,4 24 31 35 37 39,13,1,0,,0
loto6,mixed,302,303,20 21 23 26 35 39,4 24 31 35 37 39,13,2,0,,0
loto6,balance,303,304,11 17 22 30 36 39,3 7 8 15 17 31,27,1,0,,0
loto6,frequent,303,304,17 18 30 31 36 39,3 7 8 15 17 31,27,2,0,,0
loto6,overdue,303,304,1 3 21 26 32 42,3 7 8 15 17 31,27,1,0,,0
loto6,high_payout,303,304,11 17 32 36 39 42,3 7 8 15 17 31,27,1,0,,0
loto6,random,303,304,11 17 18 30 38 39,3 7 8 15 17 31,27,1,0,,0
loto6,sougaku_delete,303,304,11 17 18 30 36 39,3 7 8 15 17 31,27,1,0,,0
loto6,mixed,303,304,11 17 18 30 36 39,3 7 8 15 17 31,27,1,0,,0
loto6,balance,304,305,9 17 18 30 36 39,1 2 5 23 31 34,43,0,0,,0
loto6,frequent,304,305,11 17 30 31 36 39,1 2 5 23 31 34,43,1,0,,0
loto6,overdue,304,305,1 16 21 26 32 42,1 2 5 23 31 34,43,1,0,,0
loto6,high_payout,304,305,21 32 36 39 41 42,1 2 5 23 31 34,43,0,0,,0
loto6,random,304,305,11 16 17 27 35 39,1 2 5 23 31 34,43,0,0,,0
loto6,sougaku_delete,304,305,11 17 18 30 36 39,1 2 5 23 31 34,43,0,0,,0
loto6,mixed,304,305,1 16 21 26 32 42,1 2 5 23 31 34,43,1,0,,0
loto6,balance,305,306,6 11 17 18 36 39,1 20 25 28 31 42,2,0,0,,0
loto6,frequent,305,306,11 17 18 31 36 39,1 20 25 28 31 42,2,1,0,,0
loto6,overdue,305,306,16 21 26 30 32 42,1 20 25 28 31 42,2,1,0,,0
loto6,high_payout,305,306,17 32 35 36 39 42,1 20 25 28 31 42,2,1,0,,0
loto6,random,305,306,9 13 18 27 30 39,1 20 25 28 31 42,2,0,0,,0
loto6,sougaku_delete,305,306,9 17 18 22 36 39,1 20 25 28 31 42,2,0,0,,0
loto6,mixed,305,306,9 17 22 30 36 39,1 20 25 28 31 42,2,0,0,,0
loto6,balance,306,307,11 17 22 30 36 39,1 7 11 32 33 40,27,1,0,,0
loto6,frequent,306,307,17 18 30 31 36 39,1 7 11 32 33 40,27,0,0,,0
loto6,overdue,306,307,16 21 22 26 30 32,1 7 11 32 33 40,27,1,0,,0
loto6,high_payout,306,307,9 16 21 32 36 39,1 7 11 32 33 40,27,1,0,,0
loto6,random,306,307,6 21 33 36 38 43,1 7 11 32 33 40,27,1,0,,0
loto6,sougaku_delete,306,307,17 18 22 31 36 39,1 7 11 32 33 40,27,0,0,,0
loto6,mixed,306,307,9 11 18 22 31 36,1 7 11 32 33 40,27,1,0,,0
loto6,balance,307,308,11 18 22 30 31 39,3 13 18 20 23 28,35,1,0,,0
loto6,frequent,307,308,11 17 18 30 31 39,3 13 18 20 23 28,35,1,0,,0
loto6,overdue,307,308,16 18 21 22 26 30,3 13 18 20 23 28,35,1,0,,0
loto6,high_payout,307,308,21 22 26 36 39 41,3 13 18 20 23 28,35,0,0,,0
loto6,random,307,308,6 8 31 33 36 37,3 13 18 20 23 28,35,0,0,,0
loto6,sougaku_delete,307,308,17 22 30 31 36 39,3 13 18 20 23 28,35,0,0,,0
loto6,mixed,307,308,11 17 18 30 36 39,3 13 18 20 23 28,35,1,0,,0
loto6,balance,308,309,11 17 30 31 36 39,1 4 26 36 41 42,9,1,0,,0
loto6,frequent,308,309,11 17 18 31 36 39,1 4 26 36 41 42,9,1,0,,0
loto6,overdue,308,309,16 21 22 26 27 30,1 4 26 36 41 42,9,1,0,,0
loto6,high_payout,308,309,11 17 21 36 38 39,1 4 26 36 41 42,9,1,0,,0
loto6,random,308,309,11 25 26 30 35 36,1 4 26 36 41 42,9,2,0,,0
loto6,sougaku_delete,308,309,11 17 18 22 36 39,1 4 26 36 41 42,9,1,0,,0
loto6,mixed,308,309,16 21 22 26 30 39,1 4 26 36 41 42,9,1,0,,0
loto6,balance,309,310,11 17 18 30 36 39,3 4 5 18 28 37,26,1,0,,0
loto6,frequent,309,310,9 11 17 31 36 39,3 4 5 18 28 37,26,0,0,,0
loto6,overdue,309,310,14 16 21 22 27 30,3 4 5 18 28 37,26,0,0,,0
loto6,high_payout,309,310,16 21 22 33 36 39,3 4 5 18 28 37,26,0,0,,0
loto6,random,309,310,1 30 33 36 38 39,3 4 5 18 28 37,26,0,0,,0
loto6,sougaku_delete,309,310,11 17 22 30 31 36,3 4 5 18 28 37,26,0,0,,0
loto6,mixed,309,310,11 17 18 30 36 39,3 4 5 18 28 37,26,1,0,,0
loto6,balance,310,311,11 17 22 31 36 39,1 16 22 36 37 42,34,2,0,,0
loto6,frequent,310,311,4 11 17 31 36 39,1 16 22 36 37 42,34,1,0,,0
loto6,overdue,310,311,16 21 22 27 30 43,1 16 22 36 37 42,34,2,0,,0
loto6,high_payout,310,311,11 17 22 36 39 43,1 16 22 36 37 42,34,2,0,,0
loto6,random,310,311,10 29 30 31 36 39,1 16 22 36 37 42,34,1,0,,0
loto6,sougaku_delete,310,311,11 17 18 22 31 36,1 16 22 36 37 42,34,2,0,,0
loto6,mixed,310,311,11 17 22 30 36 39,1 16 22 36 37 42,34,2,0,,0
loto6,balance,311,312,9 11 17 18 36 39,2 17 22 29 38 42,16,1,0,,0
loto6,frequent,311,312,11 17 18 31 36 39,2 17 22 29 38 42,16,1,0,,0
loto6,overdue,311,312,14 19 21 27 30 43,2 17 22 29 38 42,16,0,0,,0
loto6,high_payout,311,312,18 21 31 36 38 39,2 17 22 29 38 42,16,1,0,,0
loto6,random,311,312,13 17 22 30 36 39,2 17 22 29 38 42,16,2,0,,0
loto6,sougaku_delete,311,312,11 17 18 30 31 36,2 17 22 29 38 42,16,1,0,,0
loto6,mixed,311,312,16 20 22 29 32 38,2 17 22 29 38 42,16,3,1,5,1000
loto6,balance,312,313,9 11 18 22 31 36,1 19 21 31 32 40,33,1,0,,0
loto6,frequent,312,313,11 17 18 31 36 39,1 19 21 31 32 40,33,1,0,,0
loto6,overdue,312,313,12 14 19 21 30 39,1 19 21 31 32 40,33,2,0,,0
loto6,high_payout,312,313,9 18 21 30 36 39,1 19 21 31 32 40,33,1,0,,0
loto6,random,312,313,18 22 31 33 34 42,1 19 21 31 32 40,33,1,1,,0
loto6,sougaku_delete,312,313,9 17 18 30 36 39,1 19 21 31 32 40,33,0,0,,0
loto6,mixed,312,313,4 11 17 31 36 39,1 19 21 31 32 40,33,1,0,,0
loto6,balance,313,314,9 17 18 30 36 39,3 8 14 30 38 43,6,1,0,,0
loto6,frequent,313,314,1 11 17 31 36 39,3 8 14 30 38 43,6,0,0,,0
loto6,overdue,313,314,12 14 27 30 39 43,3 8 14 30 38 43,6,3,0,5,1000
loto6,high_payout,313,314,6 18 27 33 36 39,3 8 14 30 38 43,6,0,1,,0
loto6,random,313,314,6 17 23 33 39 42,3 8 14 30 38 43,6,0,1,,0
loto6,sougaku_delete,313,314,17 18 22 31 36 39,3 8 14 30 38 43,6,0,0,,0
loto6,mixed,313,314,8 11 17 30 31 36,3 8 14 30 38 43,6,2,0,,0
loto6,balance,314,315,9 11 17 22 36 39,1 2 17 24 40 41,31,1,0,,0
loto6,frequent,314,315,11 17 18 30 31 39,1 2 17 24 40 41,31,1,1,,0
loto6,overdue,314,315,9 10 12 27 35 39,1 2 17 24 40 41,31,0,0,,0
loto6,high_payout,314,315,6 9 27 36 38 39,1 2 17 24 40 41,31,0,0,,0
loto6,random,314,315,9 20 27 36 37 39,1 2 17 24 40 41,31,0,0,,0
loto6,sougaku_delete,314,315,13 17 18 22 31 36,1 2 17 24 40 41,31,1,1,,0
loto6,mixed,314,315,11 17 18 30 31 36,1 2 17 24 40 41,31,1,1,,0
loto6,balance,315,316,9 11 17 18 36 39,3 4 20 30 40 41,31,0,0,,0
loto6,frequent,315,316,11 17 30 31 36 39,3 4 20 30 40 41,31,1,1,,0
loto6,overdue,315,316,6 12 15 27 35 39,3 4 20 30 40 41,31,0,0,,0
loto6,high_payout,315,316,9 12 18 27 36 39,3 4 20 30 40 41,31,0,0,,0
loto6,random,315,316,5 9 20 38 39 41,3 4 20 30 40 41,31,2,0,,0
loto6,sougaku_delete,315,316,17 18 22 31 36 39,3 4 20 30 40 41,31,0,1,,0
loto6,mixed,315,316,4 11 17 18 36 39,3 4 20 30 40 41,31,1,0,,0
loto6,balance,316,317,11 17 18 27 36 39,7 8 15 30 35 36,40,1,0,,0
loto6,frequent,316,317,1 17 30 31 36 39,7 8 15 30 35 36,40,2,0,,0
loto6,overdue,316,317,6 9 12 27 35 39,7 8 15 30 35 36,40,1,0,,0
loto6,high_payout,316,317,6 13 27 36 38 39,7 8 15 30 35 36,40,1,0,,0
loto6,random,316,317,1 17 26 27 35 43,7 8 15 30 35 36,40,1,0,,0
loto6,sougaku_delete,316,317,11 17 22 30 31 36,7 8 15 30 35 36,40,2,0,,0
loto6,mixed,316,317,11 17 30 31 36 39,7 8 15 30 35 36,40,2,0,,0
loto6,balance,317,318,11 17 22 30 36 39,2 7 13 16 36 37,41,1,0,,0
loto6,frequent,317,318,1 17 30 31 36 39,2 7 13 16 36 37,41,1,0,,0
loto6,overdue,317,318,6 9 12 18 27 39,2 7 13 16 36 37,41,0,0,,0
loto6,high_payout,317,318,9 12 27 36 38 39,2 7 13 16 36 37,41,1,0,,0
loto6,random,317,318,4 5 13 17 23 39,2 7 13 16 36 37,41,1,0,,0
loto6,sougaku_delete,317,318,11 17 18 22 31 36,2 7 13 16 36 37,41,1,0,,0
loto6,mixed,317,318,11 17 18 30 31 36,2 7 13 16 36 37,41,1,0,,0
loto6,balance,318,319,1 11 17 30 36 39,15 20 23 28 37 40,17,0,1,,0
loto6,frequent,318,319,11 17 30 31 36 39,15 20 23 28 37 40,17,0,1,,0
loto6,overdue,318,319,6 10 12 27 33 39,15 20 23 28 37 40,17,0,0,,0
loto6,high_payout,318,319,9 12 17 27 36 39,15 20 23 28 37 40,17,0,1,,0
loto6,random,318,319,3 4 19 30 33 35,15 20 23 28 37 40,17,0,0,,0
loto6,sougaku_delete,318,319,9 17 18 30 36 39,15 20 23 28 37 40,17,0,1,,0
loto6,mixed,318,319,6 9 22 27 36 39,15 20 23 28 37 40,17,0,0,,0
loto6,balance,319,320,11 17 18 30 36 39,1 5 25 27 38 41,9,0,0,,0
loto6,frequent,319,320,1 11 17 30 31 36,1 5 25 27 38 41,9,1,0,,0
loto6,overdue,319,320,6 9 10 12 27 39,1 5 25 27 38 41,9,1,1,,0
loto6,high_payout,319,320,6 9 17 33 36 39,1 5 25 27 38 41,9,0,1,,0
loto6,random,319,320,11 17 29 30 36 39,1 5 25 27 38 41,9,0,0,,0
loto6,sougaku_delete,319,320,11 17 22 30 31 36,1 5 25 27 38 41,9,0,0,,0
loto6,mixed,319,320,6 9 11 36 38 39,1 5 25 27 38 41,9,1,1,,0
loto6,balance,320,321,11 17 18 30 36 39,21 29 31 36 38 41,10,1,0,,0
loto6,frequent,320,321,11 17 18 30 31 36,21 29 31 36 38 41,10,2,0,,0
loto6,overdue,320,321,6 9 10 12 34 39,21 29 31 36 38 41,10,0,1,,0
loto6,high_payout,320,321,6 17 26 33 36 39,21 29 31 36 38 41,10,1,0,,0
loto6,random,320,321,3 4 12 29 31 36,21 29 31 36 38 41,10,3,0,5,1000
loto6,sougaku_delete,320,321,11 17 18 22 31 36,21 29 31 36 38 41,10,2,0,,0
loto6,mixed,320,321,6 11 17 34 36 39,21 29 31 36 38 41,10,1,0,,0
loto6,balance,321,322,9 11 17 30 36 39,18 19 22 25 35 42,36,0,1,,0
loto6,frequent,321,322,1 17 30 31 36 39,18 19 22 25 35 42,36,0,1,,0
loto6,overdue,321,322,6 9 12 33 34 39,18 19 22 25 35 42,36,0,0,,0
loto6,high_payout,321,322,6 11 17 33 36 39,18 19 22 25 35 42,36,0,1,,0
