game,drawNumber,drawDate,mainNumbers,bonusNumbers,salesAmount,carryoverAmount,prizeTiers
"loto6","1","2000-10-05","2 8 10 13 27 30","39","","0","[{""tier"":1,""winners"":2,""prizeYen"":45513600},{""tier"":2,""winners"":2,""prizeYen"":40961900},{""tier"":3,""winners"":262,""prizeYen"":375200},{""tier"":4,""winners"":12413,""prizeYen"":6900},{""tier"":5,""winners"":174452,""prizeYen"":1000}]"
"loto6","2","2000-10-12","1 9 16 20 21 43","5","","102580607","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":7,""prizeYen"":13188800},{""tier"":3,""winners"":195,""prizeYen"":568100},{""tier"":4,""winners"":8426,""prizeYen"":11500},{""tier"":5,""winners"":144860,""prizeYen"":1000}]"
"loto6","3","2000-10-19","1 5 15 31 36 38","13","","0","[{""tier"":1,""winners"":2,""prizeYen"":121348100},{""tier"":2,""winners"":8,""prizeYen"":15762800},{""tier"":3,""winners"":164,""prizeYen"":922700},{""tier"":4,""winners"":9450,""prizeYen"":14100},{""tier"":5,""winners"":181437,""prizeYen"":1000}]"
"loto6","4","2000-10-26","16 18 26 27 34 40","13","","128819603","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":3,""prizeYen"":38645500},{""tier"":3,""winners"":134,""prizeYen"":1038200},{""tier"":4,""winners"":8675,""prizeYen"":14100},{""tier"":5,""winners"":160892,""prizeYen"":1000}]"
"loto6","5","2000-11-02","9 15 21 23 27 28","43","","263982587","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":9,""prizeYen"":13516100},{""tier"":3,""winners"":258,""prizeYen"":565700},{""tier"":4,""winners"":16473,""prizeYen"":7800},{""tier"":5,""winners"":239987,""prizeYen"":1000}]"
"loto6","6","2000-11-09","6 12 23 25 28 38","22","","124672751","[{""tier"":1,""winners"":1,""prizeYen"":400000000},{""tier"":2,""winners"":5,""prizeYen"":46923800},{""tier"":3,""winners"":787,""prizeYen"":357700},{""tier"":4,""winners"":36421,""prizeYen"":6800},{""tier"":5,""winners"":512712,""prizeYen"":1000}]"
"loto6","7","2000-11-16","7 19 21 23 33 35","26","","0","[{""tier"":1,""winners"":1,""prizeYen"":348644800},{""tier"":2,""winners"":12,""prizeYen"":16797700},{""tier"":3,""winners"":486,""prizeYen"":497700},{""tier"":4,""winners"":23473,""prizeYen"":9000},{""tier"":5,""winners"":354810,""prizeYen"":1000}]"
"loto6","8","2000-11-23","11 16 18 20 42 43","28","","206832135","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":2,""prizeYen"":93073600},{""tier"":3,""winners"":183,""prizeYen"":1220600},{""tier"":4,""winners"":10337,""prizeYen"":19000},{""tier"":5,""winners"":216684,""prizeYen"":1000}]"
"loto6","9","2000-11-30","11 19 23 38 39 42","15","","56524796","[{""tier"":1,""winners"":1,""prizeYen"":400000000},{""tier"":2,""winners"":14,""prizeYen"":16051500},{""tier"":3,""winners"":548,""prizeYen"":492000},{""tier"":4,""winners"":25632,""prizeYen"":9200},{""tier"":5,""winners"":388610,""prizeYen"":1000}]"
"loto6","10","2000-12-07","1 3 19 21 35 39","26","","296543942","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":11,""prizeYen"":19637700},{""tier"":3,""winners"":341,""prizeYen"":760100},{""tier"":4,""winners"":17984,""prizeYen"":12700},{""tier"":5,""winners"":311772,""prizeYen"":1000}]"
"loto6","11","2000-12-14","12 26 32 37 40 42","16","","184889411","[{""tier"":1,""winners"":1,""prizeYen"":400000000},{""tier"":2,""winners"":9,""prizeYen"":28834200},{""tier"":3,""winners"":330,""prizeYen"":943600},{""tier"":4,""winners"":21430,""prizeYen"":12800},{""tier"":5,""winners"":363490,""prizeYen"":1000}]"
