"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"1","2000-10-05","","0","2","45513600"
"2","2000-10-12","","102580607","0","0"
"3","2000-10-19","","0","2","121348100"
"4","2000-10-26","","128819603","0","0"
"5","2000-11-02","","263982587","0","0"
"6","2000-11-09","","124672751","1","400000000"
"7","2000-11-16","","0","1","348644800"
"8","2000-11-23","","206832135","0","0"
"9","2000-11-30","","56524796","1","400000000"
"10","2000-12-07","","296543942","0","0"
"11","2000-12-14","","184889411","1","400000000"
"12","2000-12-21","","26830542","1","400000000"
"13","2000-12-28","","0","3","90075800"
"14","2001-01-04","","0","1","141844600"
"15","2001-01-11","","202524583","0","0"
"16","2001-01-18","","0","4","114690000"
"17","2001-01-25","","249208924","0","0"
"18","2001-02-01","","0","4","130218200"
"19","2001-02-08","","0","2","125271100"
"20","2001-02-15","","0","2","123069600"
"21","2001-02-22","","224948364","0","0"
"22","2001-03-01","","0","2","246918300"
"23","2001-03-08","","0","2","123831800"
"24","2001-03-15","","35077560","1","200000000"
"25","2001-03-22","","0","2","147444200"
"26","2001-03-29","","31090737","1","200000000"
"27","2001-04-05","","0","1","282187900"
"28","2001-04-12","","238045160","0","0"
"29","2001-04-19","","0","9","57338900"
"30","2001-04-26","","258064512","0","0"
"31","2001-05-03","","0","3","176674900"
"32","2001-05-10","","0","2","122160100"
"33","2001-05-17","","0","2","117951800"
"34","2001-05-24","","41176145","1","200000000"
"35","2001-05-31","","0","1","282373700"
"36","2001-06-07","","36788358","1","200000000"
"37","2001-06-14","","0","3","88178700"
"38","2001-06-21","","246032418","0","0"
"39","2001-06-28","","0","8","67318200"
"40","2001-07-05","","0","2","118547100"
"41","2001-07-12","","36197335","1","200000000"
"42","2001-07-19","","0","2","134394100"
"43","2001-07-26","","0","3","75848800"
"44","2001-08-02","","0","3","74421300"
"45","2001-08-09","","14489512","1","200000000"
"46","2001-08-16","","0","2","111752700"
"47","2001-08-23","","0","5","40002200"
"48","2001-08-30","","0","3","76260300"
"49","2001-09-06","","0","2","118591400"
"50","2001-09-13","","0","4","48427800"
"51","2001-09-20","","0","7","29184600"
"52","2001-09-27","","0","3","72304100"
"53","2001-10-04","","0","6","36518100"
"54","2001-10-11","","17333248","1","200000000"
"55","2001-10-18","","256384594","0","0"
"56","2001-10-25","","0","2","293594800"
"57","2001-11-01","","0","14","17755700"
"58","2001-11-08","","0","2","116836200"
"59","2001-11-15","","0","3","87561500"
"60","2001-11-22","","76297998","1","200000000"
"61","2001-11-29","","0","1","338406300"
"62","2001-12-06","","0","5","47591800"
"63","2001-12-13","","0","3","86096500"
"64","2001-12-20","","0","4","63574100"
"65","2001-12-27","","0","2","138826100"
"66","2002-01-10","","0","6","45895000"
"67","2002-01-17","","0","5","47129400"
"68","2002-01-24","","0","4","65075000"
"69","2002-01-31","","78145012","1","200000000"
"70","2002-02-07","","0","1","381471200"
"71","2002-02-14","","0","3","93395200"
"72","2002-02-21","","0","3","89058400"
"73","2002-02-28","","267385456","0","0"
"74","2002-03-07","","0","3","216697800"
"75","2002-03-14","","0","3","87271200"
"76","2002-03-21","","0","3","82365800"
"77","2002-03-28","","0","3","86328300"
"78","2002-04-04","","0","7","38856500"
"79","2002-04-11","","85172896","1","200000000"
"80","2002-04-18","","0","1","361173200"
"81","2002-04-25","","0","3","82115000"
"82","2002-05-02","","54432400","1","200000000"
"83","2002-05-09","","0","1","338040600"
"84","2002-05-16","","0","17","15692300"
"85","2002-05-23","","245818952","0","0"
"86","2002-05-30","","0","14","42353400"
"87","2002-06-06","","0","3","91415900"
"88","2002-06-13","","0","4","64721700"
