"数字","全期間の出現回数","直近30回の出現回数","直近50回の出現回数","直近100回の出現回数","直近300回の出現回数","最後に出た回号","前回からの間隔","平均出現間隔","最大未出現間隔"
"1","298","6","10","17","43","2133","3","7.18","47"
"2","317","6","9","15","44","2129","7","6.73","47"
"3","291","6","9","13","39","2125","11","7.29","45"
"4","290","3","5","10","37","2129","7","7.31","34"
"5","304","6","8","15","45","2134","2","7.03","30"
"6","330","5","9","18","46","2136","0","6.47","45"
"7","276","5","7","14","41","2136","0","7.74","42"
"8","297","5","10","17","42","2120","16","7.16","53"
"9","260","3","5","9","33","2134","2","8.23","51"
"10","308","3","5","13","39","2134","2","6.95","51"
"11","283","3","4","12","37","2133","3","7.54","35"
"12","292","4","4","12","36","2130","6","7.30","40"
"13","278","4","6","12","41","2135","1","7.70","39"
"14","287","3","3","13","34","2133","3","7.42","36"
"15","309","5","8","16","42","2132","4","6.91","44"
"16","300","4","7","13","39","2132","4","7.12","35"
"17","275","1","4","11","37","2121","15","7.70","45"
"18","305","5","12","19","48","2130","6","6.99","33"
"19","310","2","5","13","38","2132","4","6.88","37"
"20","300","7","9","13","41","2133","3","7.13","59"
"21","314","2","8","13","45","2122","14","6.77","41"
"22","301","4","5","11","38","2128","8","6.99","35"
"23","293","1","2","5","36","2114","22","7.22","64"
"24","307","0","4","15","46","2100","36","6.73","41"
"25","294","5","8","15","41","2131","5","7.25","37"
"26","313","5","8","16","50","2134","2","6.83","35"
"27","309","4","8","14","41","2128","8","6.91","36"
"28","300","3","8","16","50","2131","5","7.11","43"
"29","282","4","6","13","49","2134","2","7.55","42"
"30","298","3","7","17","43","2127","9","7.16","54"
"31","286","3","3","8","39","2132","4","7.47","45"
"32","300","5","7","14","32","2135","1","7.10","55"
"33","285","4","6","12","45","2136","0","7.50","45"
"34","280","2","6","10","40","2135","1","7.64","39"
"35","313","9","10","17","53","2134","2","6.82","41"
"36","306","5","9","13","52","2124","12","6.95","47"
"37","322","7","10","21","50","2136","0","6.62","41"
"38","314","5","7","16","42","2133","3","6.81","34"
"39","296","2","5","13","33","2135","1","7.21","65"
"40","285","4","6","14","43","2130","6","7.49","35"
"41","282","6","7","15","39","2136","0","7.56","40"
"42","318","4","8","19","47","2126","10","6.68","47"
"43","308","7","13","18","44","2136","0","6.95","33"
