"数字","全期間の出現回数","直近30回の出現回数","直近50回の出現回数","直近100回の出現回数","直近300回の出現回数","最後に出た回号","前回からの間隔","平均出現間隔","最大未出現間隔"
"1","297","7","9","16","42","2123","8","7.17","47"
"2","317","7","9","16","45","2129","2","6.73","47"
"3","291","6","9","13","39","2125","6","7.29","45"
"4","290","4","6","10","37","2129","2","7.31","34"
"5","303","7","8","16","44","2118","13","7.00","30"
"6","329","5","9","17","45","2129","2","6.47","45"
"7","274","3","5","13","41","2127","4","7.77","42"
"8","297","6","13","18","42","2120","11","7.16","53"
"9","258","1","3","7","31","2110","21","8.20","51"
"10","307","2","5","14","38","2121","10","6.93","51"
"11","282","2","5","11","37","2115","16","7.50","35"
"12","292","4","4","13","36","2130","1","7.30","40"
"13","277","3","7","12","42","2128","3","7.71","39"
"14","286","2","3","12","34","2120","11","7.40","36"
"15","308","4","7","16","41","2127","4","6.92","44"
"16","299","3","6","13","38","2129","2","7.14","35"
"17","275","2","6","13","38","2121","10","7.70","45"
"18","305","7","13","19","49","2130","1","6.99","33"
"19","309","2","7","12","37","2109","22","6.82","37"
"20","299","6","8","12","42","2128","3","7.13","59"
"21","314","4","8","15","46","2122","9","6.77","41"
"22","301","4","5","13","39","2128","3","6.99","35"
"23","293","1","2","5","38","2114","17","7.22","64"
"24","307","0","4","15","47","2100","31","6.73","41"
"25","294","7","9","16","42","2131","0","7.25","37"
"26","312","5","9","16","49","2131","0","6.84","35"
"27","309","5","8","15","41","2128","3","6.91","36"
"28","300","6","9","16","50","2131","0","7.11","43"
"29","280","2","5","11","47","2127","4","7.58","42"
"30","298","5","8","17","44","2127","4","7.16","54"
"31","285","2","2","7","39","2112","19","7.43","45"
"32","298","3","5","12","30","2122","9","7.11","55"
"33","284","3","5","13","45","2131","0","7.51","45"
"34","279","3","5","9","40","2115","16","7.59","39"
"35","312","8","10","20","53","2131","0","6.83","41"
"36","306","6","9","13","52","2124","7","6.95","47"
"37","320","5","8","21","49","2126","5","6.63","41"
"38","313","5","6","15","42","2128","3","6.81","34"
"39","295","1","6","13","32","2107","24","7.14","65"
"40","285","5","8","14","45","2130","1","7.49","35"
"41","281","5","6","14","39","2130","1","7.56","40"
"42","318","4","8","20","49","2126","5","6.68","47"
"43","307","8","13","17","44","2131","0","6.96","33"
