"回号","抽せん日","等級","当せん口数","当せん金額"
"1","2000-10-05","1等","2","45513600"
"1","2000-10-05","2等","2","40961900"
"1","2000-10-05","3等","262","375200"
"1","2000-10-05","4等","12413","6900"
"1","2000-10-05","5等","174452","1000"
"2","2000-10-12","1等","0","0"
"2","2000-10-12","2等","7","13188800"
"2","2000-10-12","3等","195","568100"
"2","2000-10-12","4等","8426","11500"
"2","2000-10-12","5等","144860","1000"
"3","2000-10-19","1等","2","121348100"
"3","2000-10-19","2等","8","15762800"
"3","2000-10-19","3等","164","922700"
"3","2000-10-19","4等","9450","14100"
"3","2000-10-19","5等","181437","1000"
"4","2000-10-26","1等","0","0"
"4","2000-10-26","2等","3","38645500"
"4","2000-10-26","3等","134","1038200"
"4","2000-10-26","4等","8675","14100"
"4","2000-10-26","5等","160892","1000"
"5","2000-11-02","1等","0","0"
"5","2000-11-02","2等","9","13516100"
"5","2000-11-02","3等","258","565700"
"5","2000-11-02","4等","16473","7800"
"5","2000-11-02","5等","239987","1000"
"6","2000-11-09","1等","1","400000000"
"6","2000-11-09","2等","5","46923800"
"6","2000-11-09","3等","787","357700"
"6","2000-11-09","4等","36421","6800"
"6","2000-11-09","5等","512712","1000"
"7","2000-11-16","1等","1","348644800"
"7","2000-11-16","2等","12","16797700"
"7","2000-11-16","3等","486","497700"
"7","2000-11-16","4等","23473","9000"
"7","2000-11-16","5等","354810","1000"
"8","2000-11-23","1等","0","0"
"8","2000-11-23","2等","2","93073600"
"8","2000-11-23","3等","183","1220600"
"8","2000-11-23","4等","10337","19000"
"8","2000-11-23","5等","216684","1000"
"9","2000-11-30","1等","1","400000000"
"9","2000-11-30","2等","14","16051500"
"9","2000-11-30","3等","548","492000"
"9","2000-11-30","4等","25632","9200"
"9","2000-11-30","5等","388610","1000"
"10","2000-12-07","1等","0","0"
"10","2000-12-07","2等","11","19637700"
"10","2000-12-07","3等","341","760100"
"10","2000-12-07","4等","17984","12700"
"10","2000-12-07","5等","311772","1000"
"11","2000-12-14","1等","1","400000000"
"11","2000-12-14","2等","9","28834200"
"11","2000-12-14","3等","330","943600"
"11","2000-12-14","4等","21430","12800"
"11","2000-12-14","5等","363490","1000"
"12","2000-12-21","1等","1","400000000"
"12","2000-12-21","2等","30","7258100"
"12","2000-12-21","3等","561","465700"
"12","2000-12-21","4等","27984","8200"
"12","2000-12-21","5等","432419","1000"
"13","2000-12-28","1等","3","90075800"
"13","2000-12-28","2等","30","7301800"
"13","2000-12-28","3等","474","554500"
"13","2000-12-28","4等","25522","9000"
"13","2000-12-28","5等","382472","1000"
"14","2001-01-04","1等","1","141844600"
"14","2001-01-04","2等","2","63829500"
"14","2001-01-04","3等","217","705900"
"14","2001-01-04","4等","10272","13100"
"14","2001-01-04","5等","201531","1000"
"15","2001-01-11","1等","0","0"
"15","2001-01-11","2等","11","16570000"
"15","2001-01-11","3等","425","514600"
"15","2001-01-11","4等","19510","9800"
"15","2001-01-11","5等","306777","1000"
"16","2001-01-18","1等","4","114690000"
"16","2001-01-18","2等","7","32944200"
"16","2001-01-18","3等","466","593800"
"16","2001-01-18","4等","24815","9800"
"16","2001-01-18","5等","403581","1000"
"17","2001-01-25","1等","0","0"
"17","2001-01-25","2等","7","32040800"
"17","2001-01-25","3等","209","1287700"
