"数字","直近100回の出現回数","前回からの間隔","過去出現回数"
"1","17","3","298"
"2","15","7","317"
"3","13","11","291"
"4","10","7","290"
"5","15","2","304"
"6","18","0","330"
"7","14","0","276"
"8","17","16","297"
"9","9","2","260"
"10","13","2","308"
"11","12","3","283"
"12","12","6","292"
"13","12","1","278"
"14","13","3","287"
"15","16","4","309"
"16","13","4","300"
"17","11","15","275"
"18","19","6","305"
"19","13","4","310"
"20","13","3","300"
"21","13","14","314"
"22","11","8","301"
"23","5","22","293"
"24","15","36","307"
"25","15","5","294"
"26","16","2","313"
"27","14","8","309"
"28","16","5","300"
"29","13","2","282"
"30","17","9","298"
"31","8","4","286"
"32","14","1","300"
"33","12","0","285"
"34","10","1","280"
"35","17","2","313"
"36","13","12","306"
"37","21","0","322"
"38","16","3","314"
"39","13","1","296"
"40","14","6","285"
"41","15","0","282"
"42","19","10","318"
"43","18","0","308"
