"回号","抽せん日","本数字1","本数字2","本数字3","本数字4","本数字5","本数字6","本数字7","ボーナス数字1","ボーナス数字2","販売実績額","キャリーオーバー","1等口数","1等当せん金額","2等口数","2等当せん金額","3等口数","3等当せん金額","4等口数","4等当せん金額","5等口数","5等当せん金額","6等口数","6等当せん金額","データソース","取得日時","検証状態"
"1","2013-04-05","7","10","12","17","23","28","34","3","15","","0","1","301716500","24","4144600","168","828900","8254","9800","115022","1700","189593","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"2","2013-04-12","20","24","29","31","33","34","35","12","32","","247506600","0","0","3","27968500","63","1864500","3631","18900","67155","2500","122990","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"3","2013-04-19","2","7","8","11","14","23","31","5","15","","646583065","0","0","15","8717200","218","839700","9957","10700","147796","1700","252702","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"4","2013-04-26","12","13","22","23","24","28","29","2","14","","1055636845","0","0","6","22730100","132","1446400","7217","15500","127060","2100","217162","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"5","2013-05-03","1","3","4","5","16","21","28","22","31","","1502479900","0","0","13","11525600","217","966600","10451","11700","163965","1800","239669","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"6","2013-05-10","5","15","19","23","30","34","35","6","25","","1975256125","0","0","13","12174300","166","1334700","9111","14200","158890","2000","271441","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"7","2013-05-17","1","3","5","7","27","29","33","6","15","","41801960","3","800000000","18","8835900","209","1065300","10300","12600","164712","1900","287966","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"8","2013-05-24","2","21","28","29","30","32","36","6","8","","390672500","0","0","4","28966000","98","1655100","5628","16900","98454","2300","201752","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"9","2013-05-31","3","4","15","23","27","30","36","13","35","","0","2","380111200","4","30883600","201","860400","8281","12200","129548","1900","213199","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"10","2013-06-07","1","2","3","6","24","28","30","16","20","","321524240","0","0","4","26389000","147","1005200","6861","12600","113261","1800","166137","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"11","2013-06-14","9","15","26","29","32","34","36","14","35","","0","1","707670400","6","20977400","138","1276800","6700","15400","112138","2200","211430","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"12","2013-06-21","11","12","14","19","26","27","33","24","32","","0","1","296535200","9","11274500","198","717400","7888","10500","111522","1800","167040","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"13","2013-06-28","6","10","16","21","27","28","35","15","34","","297797015","0","0","8","12556800","116","1212300","6420","12800","102857","1900","180788","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"14","2013-07-05","4","7","8","9","24","28","30","34","36","","0","2","316971200","16","7259000","206","789300","9151","10400","138034","1700","208315","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"15","2013-07-12","2","10","14","17","23","25","35","8","29","","0","2","139246400","10","9268900","112","1158600","5732","13200","92282","2000","176674","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"16","2013-07-19","5","6","9","13","16","21","23","8","34","","0","1","259314500","4","21862000","105","1165900","4943","14500","83727","2100","151462","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"17","2013-07-26","2","3","5","22","34","36","37","7","15","","257444175","0","0","4","20977700","90","1305200","4666","14700","77221","2200","169662","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"18","2013-08-02","12","17","21","24","29","31","36","20","26","","0","4","138991400","6","16682100","217","645700","6847","1200","97855","2000","147556","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"19","2013-08-09","2","14","19","20","21","22","31","1","15","","234808895","0","0","4","19848700","76","1462500","3806","17100","64380","2500","114009","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"20","2013-08-16","2","5","13","20","21","23","28","11","22","","536318350","0","0","7","14478600","127","1117200","8054","10300","106761","1900","175616","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"21","2013-08-23","1","9","13","15","25","30","33","19","28","","95906390","1","800000000","10","12244200","132","1298600","6801","14700","112769","2200","194579","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"22","2013-08-30","2","4","8","9","15","23","25","3","10","","392492300","0","0","14","7236900","164","864800","7789","10600","117980","1700","203297","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"23","2013-09-06","4","8","11","25","28","29","30","14","32","","0","1","746478700","12","9581100","166","969600","8013","11700","124341","1800","193931","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"24","2013-09-13","4","5","8","10","16","19","33","2","29","","257380635","0","0","6","14535600","120","1017400","5270","13500","86619","2000","154752","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"25","2013-09-20","1","6","11","16","17","18","21","10","24","","0","2","288220500","4","25836500","102","1418400","5581","15200","91372","2200","173039","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"26","2013-09-27","11","13","16","18","26","31","36","21","27","","242988750","0","0","3","27534000","68","1700600","4092","16500","69621","2400","131086","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"27","2013-10-04","1","10","11","14","17","18","28","25","26","","534246145","0","0","7","14134500","130","1065500","5972","13600","97788","2000","176737","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"28","2013-10-11","6","7","12","15","19","35","37","1","11","","62941930","1","800000000","8","14005000","173","906600","8428","10900","117449","1900","181526","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"29","2013-10-18","2","3","16","17","24","26","28","15","31","","369168905","0","0","8","12465300","118","1183100","6600","12400","109583","1800","183727","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"30","2013-10-25","6","8","13","22","26","32","36","16","34","","719099050","0","0","10","11720500","115","1426800","6578","14600","109416","2100","187753","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"31","2013-11-01","9","12","13","19","23","33","34","20","32","","330605330","1","800000000","10","13498600","161","1173700","8364","13200","133958","2000","205732","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"32","2013-11-08","3","8","15","18","27","29","37","31","34","","0","3","225745200","9","12679800","176","907700","8081","11500","125046","1800","194399","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"33","2013-11-15","1","4","17","24","29","33","36","19","30","","266123875","0","0","6","14839800","127","981500","5830","12500","87193","2000","142603","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"34","2013-11-22","4","6","7","23","24","32","35","8","27","","588283060","0","0","9","11700500","147","1002800","6976","12300","108906","1900","197576","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"35","2013-11-29","1","16","18","19","25","30","34","26","36","","921548030","0","0","2","57126000","88","1817600","6079","15400","103961","2200","170370","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"36","2013-12-06","5","6","10","11","20","28","36","25","37","","494443545","1","800000000","10","12705800","200","889300","9252","11200","142419","1800","223589","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"37","2013-12-13","7","8","10","13","14","19","37","29","33","","33565555","1","800000000","8","13943800","125","1249300","6741","13500","113597","1900","193752","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"38","2013-12-20","4","14","19","22","24","29","34","8","31","","0","1","323677300","19","5241700","670","208100","6320","12900","89901","2200","163891","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"39","2013-12-27","7","13","19","23","25","26","30","1","18","","0","1","279333700","9","10369500","104","1256200","5865","13000","94790","1900","166850","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"40","2014-01-10","2","6","11","23","26","31","34","7","20","","0","1","281251400","8","11663700","136","960500","6276","12200","97091","1900","160108","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"41","2014-01-17","2","3","8","15","34","35","36","25","28","","242481625","0","0","18","4576600","114","1011600","5690","11800","85743","1900","163995","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"42","2014-01-24","2","15","16","17","23","31","33","8","26","","0","1","564832800","9","11822000","152","979900","6789","12800","106318","2000","198943","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"43","2014-01-31","4","6","7","8","24","31","37","5","13","","253658750","0","0","7","12336300","131","922800","6190","11400","99278","1700","174501","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"44","2014-02-07","3","4","6","15","27","28","29","1","14","","569611595","0","0","26","4030700","285","514700","10327","8300","128463","1600","201888","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"45","2014-02-14","1","2","9","18","21","27","33","25","31","","899790300","0","0","9","12406400","163","959000","7190","12700","109093","2000","182578","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"46","2014-02-21","2","5","6","15","23","27","30","4","35","","491347345","1","800000000","21","6075000","279","640100","11944","8700","166273","1500","269340","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"47","2014-02-28","2","9","11","14","20","21","36","6","15","","0","2","411638000","10","11192600","127","1233800","6304","14500","100950","2200","179186","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"48","2014-03-07","3","5","24","26","29","30","34","8","35","","0","1","240970300","6","13821600","96","1209300","4568","14900","78659","2100","150052","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"49","2014-03-14","8","11","12","17","24","26","27","14","21","","0","1","237579900","9","8854400","142","785600","5956","10900","91203","1700","129398","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
