"数字","直近100回の出現回数","前回からの間隔","過去出現回数"
"1","24","0","129"
"2","17","8","114"
"3","15","0","119"
"4","19","16","136"
"5","15","1","116"
"6","20","7","129"
"7","23","9","132"
"8","22","2","134"
"9","27","6","150"
"10","20","5","130"
"11","16","3","131"
"12","29","5","120"
"13","14","5","145"
"14","19","2","131"
"15","20","8","151"
"16","18","0","116"
"17","16","2","136"
"18","21","0","131"
"19","16","2","122"
"20","19","1","120"
"21","17","1","131"
"22","24","1","136"
"23","18","4","126"
"24","17","7","122"
"25","12","3","109"
"26","18","6","137"
"27","16","6","130"
"28","17","3","128"
"29","23","3","136"
"30","14","4","141"
"31","19","1","134"
"32","18","0","135"
"33","19","5","115"
"34","24","0","142"
"35","21","0","138"
"36","19","2","137"
"37","14","16","113"
